stateabb,ccode,leadid,leader,sdate,smonth,syear,emonth,eyear
USA,2,A2.9-46,Truman,12,4,1945,1,1953
USA,2,A2.9-49,Eisenhower,20,1,1953,1,1961
USA,2,A2.9-52,Kennedy,20,1,1961,11,1963
USA,2,A2.9-55,Johnson,22,11,1963,1,1969
USA,2,A2.9-58,Nixon,20,1,1969,8,1974
USA,2,A2.9-61,Ford,9,8,1974,1,1977
USA,2,A2.9-64,Carter,20,1,1977,1,1981
USA,2,A2.9-67,Reagan,20,1,1981,1,1989
USA,2,A2.9-70,Bush,20,1,1989,1,1993
USA,2,A2.9-73,Clinton,20,1,1993,1,2001
USA,2,A2.9-76,G.W. Bush,21,1,2001,1,2009
USA,2,A3.0-1,Obama,20,1,2009,,
CAN,20,A2.9-121,St. Laurent,15,11,1948,6,1957
CAN,20,A2.9-124,Diefenbaker,21,6,1957,4,1963
CAN,20,A2.9-127,Pearson,22,4,1963,4,1968
CAN,20,A2.9-130,Trudeau,20,4,1968,6,1979
CAN,20,A2.9-133,Clark,4,6,1979,3,1980
CAN,20,A2.9-136,Trudeau,3,3,1980,6,1984
CAN,20,A2.9-139,Turner,30,6,1984,9,1984
CAN,20,A2.9-142,Mulroney,17,9,1984,6,1993
CAN,20,A2.9-145,Kim Campbell,25,6,1993,11,1993
CAN,20,A2.9-148,Chretien,4,11,1993,12,2003
CAN,20,A2.9-151,Paul Martin,12,12,2003,2,2006
CAN,20,A3.0-2,Harper,6,2,2006,,
BHM,31,A2.9-154,Pindling,16,1,1967,8,1992
BHM,31,A2.9-157,Ingraham,21,8,1992,5,2002
BHM,31,A2.9-160,Christie,3,5,2002,5,2005
BHM,31,A3.0-3,Pratt,4,5,2005,6,2005
BHM,31,A2.9-160a,Christie,1,6,2005,5,2007
BHM,31,A3.0-4,Ingraham,4,5,2007,5,2012
BHM,31,cb-31-1,Christie,8,5,2012,,
CUB,40,A2.9-202,Grau San Martin,10,10,1944,10,1948
CUB,40,A2.9-205,Prio Socarres,10,10,1948,3,1952
CUB,40,A2.9-208,Batista,10,3,1952,1,1959
CUB,40,A2.9-211,Castro,2,1,1959,2,2008
CUB,40,A3.0-5,Raul Castro,24,2,2008,,
HAI,41,A2.9-277,Estime,16,8,1946,5,1950
HAI,41,A2.9-280,Magloire,10,5,1950,12,1956
HAI,41,A2.9-283,Pierre-Louis,12,12,1956,2,1957
HAI,41,A2.9-286,Sylvain,7,2,1957,4,1957
HAI,41,A2.9-289,Executive Council,2,4,1957,5,1957
HAI,41,A2.9-295,Cantave,20,5,1957,5,1957
HAI,41,A2.9-298,Fignole,26,5,1957,6,1957
HAI,41,A2.9-301,Kebreau,14,6,1957,10,1957
HAI,41,A2.9-304,"Duvalier, Francois",15,10,1957,4,1971
HAI,41,A2.9-307,"Duvalier, Jean-",22,4,1971,2,1986
HAI,41,A2.9-310,Namphy,7,2,1986,2,1988
HAI,41,A2.9-313,Manigat,7,2,1988,6,1988
HAI,41,A2.9-316,Namphy,20,6,1988,9,1988
HAI,41,A2.9-319,Avril,17,9,1988,3,1990
HAI,41,A2.9-325,Pascal-Troillet,13,3,1990,2,1991
HAI,41,A2.9-328,Aristide,7,2,1991,9,1991
HAI,41,A2.9-331,Cedras,30,9,1991,10,1994
HAI,41,A2.9-334,Aristide,15,10,1994,2,1996
HAI,41,A2.9-337,Preval,7,2,1996,2,2001
HAI,41,A2.9-340,Aristide,8,2,2001,2,2004
HAI,41,A2.9-343,Boniface Alexandre,29,2,2004,5,2006
HAI,41,A3.0-6,Preval,14,5,2006,5,2011
HAI,41,cb-41-1,Martelly,14,5,2011,,
DOM,42,A2.9-433,Rafael Trujillo,16,8,1930,5,1961
DOM,42,A2.9-436,Balaguer,30,5,1961,1,1962
DOM,42,A2.9-442,Filiberto Bonnelly,19,1,1962,2,1963
DOM,42,A2.9-445,Bosch,27,2,1963,9,1963
DOM,42,A2.9-448,de los Santos,26,9,1963,12,1963
DOM,42,A2.9-451,Cabral,22,12,1963,4,1965
DOM,42,A2.9-457,Bartolome Benoit,27,4,1965,5,1965
DOM,42,A2.9-460,Berreras,7,5,1965,8,1965
DOM,42,A2.9-463,Godoy,3,9,1965,7,1966
DOM,42,A2.9-466,Balaguer,1,7,1966,7,1978
DOM,42,A2.9-469,Guzman Fernandez,1,7,1978,7,1982
DOM,42,A2.9-472,Majluta Azar,4,7,1982,8,1982
DOM,42,A2.9-475,Blanco,16,8,1982,8,1986
DOM,42,A2.9-478,Balaguer,16,8,1986,8,1996
DOM,42,A2.9-481,Fernandez Reyna,16,8,1996,8,2000
DOM,42,A2.9-484,Hipolito Mejia,17,8,2000,8,2004
DOM,42,A2.9-487,Fernandez Reyna,16,8,2004,8,2012
DOM,42,cb-42-1,Danilo Medina,16,8,2012,,
JAM,51,A2.9-490,Bustamante,6,8,1962,2,1967
JAM,51,A2.9-493,Sangster,22,2,1967,4,1967
JAM,51,A2.9-496,Shearer,11,4,1967,3,1972
JAM,51,A2.9-499,Manley,2,3,1972,11,1980
JAM,51,A2.9-502,Seaga,1,11,1980,2,1989
JAM,51,A2.9-505,Manley,10,2,1989,3,1992
JAM,51,A2.9-508,Patterson,30,3,1992,3,2006
JAM,51,A3.0-8,Simpsom Miller,30,3,2006,9,2007
JAM,51,A3.0-9,Golding,11,9,2007,10,2011
JAM,51,A3.0-10,Holness,23,10,2011,1,2012
JAM,51,cb-51-1,Simpson Miller,5,1,2012,,
TRI,52,A2.9-511,Williams,31,8,1962,3,1981
TRI,52,A2.9-514,Chambers,30,3,1981,12,1986
TRI,52,A2.9-517,Robinson,18,12,1986,12,1991
TRI,52,A2.9-520,Manning,16,12,1991,11,1995
TRI,52,A2.9-523,Panday,9,11,1995,12,2001
TRI,52,A2.9-526,Manning,25,12,2001,5,2010
TRI,52,A3.0-11,Persad-Bissessar,26,5,2010,9,2015
TRI,52,cb-52-1,Rowley,9,9,2015,,
BAR,53,A2.9-529,Barrow,18,11,1966,9,1976
BAR,53,A2.9-532,Adams,8,10,1976,3,1985
BAR,53,A2.9-535,St. John,11,3,1985,5,1986
BAR,53,A2.9-538,Barrow,29,5,1986,6,1987
BAR,53,A2.9-541,Sandiford,1,6,1987,9,1994
BAR,53,A2.9-544,Arthur,7,9,1994,1,2008
BAR,53,A3.0-12,Thompson,16,1,2008,10,2010
BAR,53,A3.0-13,Stuart,23,10,2010,,
DMA,54,cb-54-1,Patrick John,3,11,1978,6,1979
DMA,54,cb-54-2,Oliver Seraphin,25,6,1979,7,1980
DMA,54,cb-54-3,Eugenia Charles,21,7,1980,6,1995
DMA,54,cb-54-4,Edison James,14,6,1995,2,2000
DMA,54,cb-54-5,Rosie Douglas,3,2,2000,10,2000
DMA,54,cb-54-6,Pierre Charles,3,10,2000,1,2004
DMA,54,cb-54-7,Roosevelt Skerrit,8,1,2004,,
GRN,55,cb-55-1,Eric Gairy,7,2,1974,3,1979
GRN,55,cb-55-2,Maurice Bishop,13,3,1979,10,1983
GRN,55,cb-55-3,Hudson Austin,19,10,1983,10,1983
GRN,55,cb-55-4,Nicholas Brathwaite,9,12,1983,12,1984
GRN,55,cb-55-5,Blaize,4,12,1984,12,1989
GRN,55,cb-55-6,Jones,20,12,1989,3,1990
GRN,55,cb-55-7,Brathwaite,16,3,1990,2,1995
GRN,55,cb-55-8,Brizan,1,2,1995,6,1995
GRN,55,cb-55-9,Mitchell,22,6,1995,7,2008
GRN,55,cb-55-10,Thomas,9,7,2008,2,2013
GRN,55,cb-55-11,Mitchell,20,2,2013,,
SLU,56,cb-56-1,Compton,22,2,1979,7,1979
SLU,56,cb-56-2,Louisy,2,7,1979,5,1981
SLU,56,cb-56-3,Cenac,4,5,1981,1,1982
SLU,56,cb-56-4,Pilgrim,17,1,1982,5,1982
SLU,56,cb-56-5,Compton,3,5,1982,4,1996
SLU,56,cb-56-6,Lewis,2,4,1996,5,1997
SLU,56,cb-56-7,Anthony,24,5,1997,12,2006
SLU,56,cb-56-8,Compton,15,12,2006,5,2007
SLU,56,cb-56-9,King,1,5,2007,11,2011
SLU,56,cb-56-10,Anthony,30,11,2011,,
SVG,57,cb-57-1,Cato,27,10,1979,7,1984
SVG,57,cb-57-2,Mitchell,30,7,1984,10,2000
SVG,57,cb-57-3,Eustace,27,10,2000,3,2001
SVG,57,cb-57-4,Gonsalves,29,3,2001,,
AAB,58,cb-58-1,Vere Bird,1,11,1981,3,1994
AAB,58,cb-58-2,Lester Bird,9,3,1994,3,2004
AAB,58,cb-58-3,Spencer,24,3,2004,6,2014
AAB,58,cb-58-4,Browne,13,6,2014,,
SKN,60,cb-60-1,Simmonds,19,9,1983,7,1995
